unit_id,date_sold,post_code,unit_price,property_type,bedrooms
54,2007-09-04,2913,820000,house,4
55,2007-09-06,2611,590000,house,3
56,2007-09-11,2904,559000,house,4
57,2007-09-15,2902,446000,house,4
58,2007-09-18,2602,470000,house,3
59,2007-09-20,2903,396500,house,4
60,2007-09-20,2604,479000,house,3
61,2007-09-21,2603,1460000,house,5
62,2007-09-22,2602,500000,house,4
63,2007-09-22,2602,506000,house,4
64,2007-09-22,2607,520000,house,4
65,2007-09-24,2612,920000,house,4
66,2007-09-27,2903,507000,house,4
67,2007-10-02,2611,475000,house,3
68,2007-10-09,2904,397000,house,3
69,2007-10-10,2605,556000,house,3
70,2007-10-12,2905,447000,house,4
71,2007-10-12,2614,720000,house,4
72,2007-10-15,2615,273000,house,1
73,2007-10-16,2615,368000,house,3
74,2007-10-16,2905,385000,house,3
75,2007-10-17,2904,560000,house,5
76,2007-10-19,2905,455000,house,4
77,2007-10-19,2906,480000,house,4
78,2007-10-24,2906,300500,house,3
79,2007-10-24,2602,505000,house,3
80,2007-10-25,2602,135500,house,1
81,2007-10-25,2912,590000,house,4
82,2007-10-25,2617,645000,house,5
83,2007-10-25,2605,770000,house,4
84,2007-10-26,2913,1100000,house,5
85,2007-11-02,2913,365000,house,3
86,2007-11-02,2607,612500,house,4
87,2007-11-05,2615,472500,house,4
88,2007-11-05,2611,600000,house,5
89,2007-11-07,2615,372500,house,3
90,2007-11-08,2905,395000,house,3
91,2007-11-08,2602,497000,house,2
92,2007-11-08,2906,595000,house,4
93,2007-11-12,2611,465000,house,2
94,2007-11-12,2903,505000,house,4
95,2007-11-16,2615,379000,house,3
96,2007-11-16,2604,505000,house,3
97,2007-11-17,2614,380000,house,3
98,2007-11-17,2902,655000,house,4
99,2007-11-17,2603,760000,house,3
100,2007-11-17,2603,760500,house,3
101,2007-11-20,2615,442500,house,4
102,2007-11-22,2902,560000,house,4
103,2007-11-23,2904,560000,house,4
104,2007-11-24,2905,335000,house,3
105,2007-11-24,2605,575000,house,3
106,2007-11-27,2902,439000,house,3
107,2007-11-29,2912,308000,house,1
108,2007-11-29,2906,353000,house,3
109,2007-11-30,2602,425000,house,3
110,2007-11-30,2602,825000,house,3
111,2007-12-01,2615,930000,house,5
112,2007-12-03,2905,365000,house,3
113,2007-12-03,2906,387000,house,3
114,2007-12-04,2906,620000,house,4
115,2007-12-05,2600,825000,house,3
116,2007-12-06,2905,335000,house,3
117,2007-12-07,2902,350000,house,3
118,2007-12-08,2602,421000,house,3
119,2007-12-08,2906,545000,house,4
120,2007-12-12,2605,635000,house,4
121,2007-12-13,2606,357500,house,3
122,2007-12-13,2913,400000,house,4
123,2007-12-13,2612,1105000,house,4
124,2007-12-14,2602,259000,house,2
125,2007-12-14,2905,437500,house,3
126,2007-12-15,2906,530000,house,4
127,2007-12-19,2602,630000,house,3
128,2007-12-20,2905,615000,house,4
129,2007-12-21,2615,332000,house,3
130,2007-12-21,2902,490000,house,3
131,2008-01-02,2906,309000,house,2
132,2008-01-14,2602,413000,house,3
133,2008-01-15,2905,445000,house,4
134,2008-01-15,2902,600000,house,4
135,2008-01-17,2605,417500,house,2
136,2008-01-17,2913,462500,house,4
137,2008-01-17,2615,485000,house,4
138,2008-01-18,2602,580000,house,4
139,2008-01-23,2601,380000,house,1
140,2008-01-24,2602,560000,house,4
141,2008-01-24,2906,575000,house,4
142,2008-01-24,2612,1035000,house,4
143,2008-01-30,2602,485000,house,3
144,2008-02-01,2905,599000,house,4
145,2008-02-04,2902,349000,house,3
146,2008-02-07,2905,360000,house,3
147,2008-02-07,2614,375000,house,3
148,2008-02-07,2905,405000,house,3
149,2008-02-08,2617,395000,house,3
150,2008-02-09,2906,417000,house,3
151,2008-02-09,2602,560000,house,3
152,2008-02-09,2903,650000,house,4
153,2008-02-11,2617,416000,house,4
154,2008-02-12,2902,749000,house,4
155,2008-02-15,2904,575000,house,4
156,2008-02-15,2602,625000,house,3
157,2008-02-16,2611,610000,house,5
158,2008-02-19,2615,445000,house,4
159,2008-02-21,2611,655000,house,5
160,2008-02-23,2617,500000,house,4
161,2008-02-23,2602,515000,house,2
162,2008-02-23,2605,811000,house,5
163,2008-02-27,2904,590000,house,4
164,2008-02-27,2905,645000,house,5
165,2008-02-27,2612,730000,house,4
166,2008-02-29,2906,342000,house,3
167,2008-02-29,2617,471000,house,4
168,2008-02-29,2617,488000,house,3
169,2008-03-13,2611,646000,house,4
170,2008-03-14,2615,655000,house,4
171,2008-03-15,2602,580000,house,3
172,2008-03-19,2615,405000,house,3
173,2008-03-20,2611,695000,house,4
174,2008-04-09,2906,420000,house,4
175,2008-04-09,2611,503000,house,3
176,2008-04-10,2906,380000,house,3
177,2008-04-11,2906,334000,house,3
178,2008-04-11,2611,395000,house,3
179,2008-04-11,2615,467500,house,4
180,2008-04-14,2604,522500,house,3
181,2008-04-14,2913,635000,house,5
182,2008-04-14,2617,690000,house,4
183,2008-04-14,2904,780000,house,4
184,2008-04-15,2904,679000,house,5
185,2008-04-18,2602,467000,house,3
186,2008-04-21,2906,649000,house,5
187,2008-04-22,2902,675000,house,4
188,2008-04-23,2905,415000,house,3
189,2008-04-23,2611,445000,house,4
190,2008-04-24,2600,292500,house,1
191,2008-04-24,2602,450000,house,3
192,2008-04-29,2602,680000,house,4
193,2008-04-29,2602,950000,house,4
194,2008-04-30,2602,485000,house,3
195,2008-05-01,2617,640000,house,4
196,2008-05-02,2906,332000,house,2
197,2008-05-02,2906,622500,house,4
198,2008-05-02,2602,775000,house,4
199,2008-05-05,2604,575000,house,2
200,2008-05-05,2604,690000,house,3
201,2008-05-09,2611,465000,house,3
202,2008-05-12,2906,635000,house,5
203,2008-05-13,2906,307000,house,2
204,2008-05-14,2611,450000,house,3
205,2008-05-16,2902,442000,house,3
206,2008-05-16,2611,490000,house,3
207,2008-05-17,2602,865000,house,5
208,2008-05-19,2905,430000,house,4
209,2008-05-23,2905,444000,house,3
210,2008-05-27,2607,535000,house,3
211,2008-05-28,2611,542000,house,4
212,2008-05-30,2906,357000,house,3
213,2008-06-02,2611,429000,house,3
214,2008-06-02,2603,1180000,house,4
215,2008-06-03,2615,375000,house,4
216,2008-06-06,2605,526000,house,3
217,2008-06-06,2601,760000,house,3
218,2008-06-10,2611,447250,house,3
219,2008-06-10,2602,492500,house,3
220,2008-06-10,2617,727500,house,4
221,2008-06-11,2615,360100,house,4
222,2008-06-11,2605,750000,house,3
223,2008-06-13,2905,365000,house,3
224,2008-06-13,2617,670000,house,4
225,2008-06-14,2903,419000,house,4
226,2008-06-14,2912,515000,house,3
227,2008-06-17,2906,340000,house,3
228,2008-06-17,2914,600000,house,4
229,2008-06-18,2615,362000,house,4
230,2008-06-19,2600,765000,house,5
231,2008-06-19,2602,770000,house,4
232,2008-06-20,2904,469000,house,4
233,2008-06-23,2913,367000,house,3
234,2008-06-24,2905,465000,house,4
235,2008-06-25,2906,375000,house,3
236,2008-06-25,2904,505000,house,4
237,2008-06-25,2602,605000,house,3
238,2008-06-26,2913,325000,house,3
239,2008-06-27,2617,421000,house,3
240,2008-06-27,2903,550000,house,4
241,2008-06-27,2913,590000,house,4
242,2008-06-29,2615,522500,house,4
243,2008-06-30,2604,480000,house,2
244,2008-06-30,2607,1165000,house,5
245,2008-07-01,2904,670000,house,4
246,2008-07-04,2905,375000,house,3
247,2008-07-07,2614,392500,house,4
248,2008-07-07,2617,445000,house,4
249,2008-07-08,2611,383000,house,3
250,2008-07-10,2906,418000,house,3
251,2008-07-10,2603,860000,house,2
252,2008-07-11,2611,418000,house,3
253,2008-07-11,2614,442000,house,4
254,2008-07-14,2905,360000,house,3
255,2008-07-14,2906,495000,house,4
256,2008-07-16,2602,468000,house,3
257,2008-07-16,2605,605000,house,3
258,2008-07-16,2603,1090000,house,4
259,2008-07-17,2607,558000,house,4
260,2008-07-18,2614,700000,house,3
261,2008-07-18,2602,1300000,house,4
262,2008-07-19,2905,320000,house,3
263,2008-07-23,2617,415000,house,3
264,2008-07-23,2906,480000,house,4
265,2008-07-23,2607,553000,house,4
266,2008-07-23,2607,885000,house,4
267,2008-07-25,2615,370000,house,4
268,2008-07-26,2605,564000,house,3
269,2008-07-28,2905,365000,house,3
270,2008-07-29,2600,927000,house,4
271,2008-07-30,2617,360000,house,3
272,2008-07-30,2615,390000,house,4
273,2008-07-31,2615,440000,house,4
274,2008-08-01,2611,430000,house,3
275,2008-08-01,2601,595000,house,3
276,2008-08-04,2617,365000,house,3
277,2008-08-04,2611,585000,house,3
278,2008-08-04,2912,602500,house,4
279,2008-08-05,2906,359000,house,3
280,2008-08-05,2902,475000,house,3
281,2008-08-06,2615,315000,house,3
282,2008-08-06,2615,320000,house,4
283,2008-08-06,2617,325000,house,4
284,2008-08-06,2615,341000,house,3
285,2008-08-06,2617,540000,house,4
286,2008-08-07,2615,395000,house,4
287,2008-08-09,2617,370000,house,3
288,2008-08-09,2602,620000,house,4
289,2008-08-09,2906,631000,house,4
290,2008-08-11,2615,405000,house,4
291,2008-08-12,2605,548000,house,3
292,2008-08-13,2615,405000,house,4
293,2008-08-13,2611,420000,house,3
294,2008-08-13,2611,531500,house,4
295,2008-08-14,2611,350000,house,2
296,2008-08-15,2906,365000,house,3
297,2008-08-15,2905,375000,house,3
298,2008-08-15,2611,402000,house,3
299,2008-08-15,2902,420000,house,3
300,2008-08-15,2913,550000,house,2
301,2008-08-15,2913,585000,house,4
302,2008-08-18,2615,279500,house,2
303,2008-08-19,2615,330000,house,3
304,2008-08-19,2617,360000,house,3
305,2008-08-19,2905,370000,house,3
306,2008-08-20,2611,405000,house,3
307,2008-08-21,2913,395000,house,3
308,2008-08-21,2617,490000,house,4
309,2008-08-21,2905,530000,house,5
310,2008-08-21,2607,680000,house,4
311,2008-08-22,2605,495000,house,4
312,2008-08-22,2617,805000,house,4
313,2008-08-23,2607,630000,house,4
314,2008-08-25,2913,400000,house,3
315,2008-08-27,2614,345000,house,3
316,2008-08-27,2913,440000,house,3
317,2008-08-27,2611,510000,house,4
318,2008-08-28,2905,310000,house,3
319,2008-08-29,2906,370000,house,4
320,2008-08-29,2914,465000,house,4
321,2008-08-30,2905,342000,house,3
322,2008-09-01,2903,380000,house,3
323,2008-09-02,2906,345000,house,3
324,2008-09-02,2615,370000,house,4
325,2008-09-02,2906,495000,house,4
326,2008-09-02,2914,541000,house,4
327,2008-09-02,2600,1380000,house,5
328,2008-09-03,2615,372000,house,3
329,2008-09-03,2617,415000,house,3
330,2008-09-04,2913,335000,house,3
331,2008-09-04,2913,1150000,house,5
332,2008-09-05,2615,387000,house,3
333,2008-09-05,2914,395000,house,3
334,2008-09-05,2905,400000,house,4
335,2008-09-05,2617,426000,house,3
336,2008-09-05,2914,552000,house,4
337,2008-09-08,2615,349000,house,3
338,2008-09-08,2900,360500,house,3
339,2008-09-08,2600,740000,house,3
340,2008-09-10,2614,371600,house,4
341,2008-09-11,2607,380000,house,3
342,2008-09-11,2617,450000,house,3
343,2008-09-12,2617,427000,house,4
344,2008-09-13,2913,477000,house,4
345,2008-09-13,2617,479000,house,3
346,2008-09-15,2905,321000,house,2
347,2008-09-15,2617,405000,house,3
348,2008-09-16,2614,357000,house,3
349,2008-09-16,2615,360000,house,4
350,2008-09-16,2617,365000,house,3
351,2008-09-16,2617,585000,house,4
352,2008-09-17,2615,343000,house,3
353,2008-09-17,2914,410000,house,3
354,2008-09-17,2903,420000,house,4
355,2008-09-17,2614,420000,house,3
356,2008-09-17,2600,720000,house,3
357,2008-09-17,2614,720000,house,5
358,2008-09-18,2913,320000,house,3
359,2008-09-18,2902,474000,house,4
360,2008-09-18,2607,860000,house,3
361,2008-09-19,2913,460000,house,3
362,2008-09-19,2602,592000,house,2
363,2008-09-19,2913,695000,house,5
364,2008-09-20,2617,346000,house,3
365,2008-09-22,2615,349950,house,3
366,2008-09-22,2906,355000,house,3
367,2008-09-22,2913,362000,house,3
368,2008-09-22,2905,373000,house,3
369,2008-09-22,2611,399000,house,4
370,2008-09-22,2905,422250,house,3
371,2008-09-22,2611,445000,house,3
372,2008-09-22,2615,475000,house,4
373,2008-09-22,2903,485000,house,5
374,2008-09-22,2605,560500,house,4
375,2008-09-22,2906,590000,house,4
376,2008-09-22,2615,595000,house,4
377,2008-09-22,2605,650000,house,3
378,2008-09-22,2611,660000,house,4
379,2008-09-22,2905,675000,house,4
380,2008-09-22,2611,685000,house,4
381,2008-09-22,2600,690000,house,4
382,2008-09-22,2604,975000,house,3
383,2008-09-23,2906,372000,house,3
384,2008-09-24,2606,437000,house,3
385,2008-09-25,2607,411000,house,3
386,2008-09-25,2903,450000,house,4
387,2008-09-25,2602,525000,house,2
388,2008-09-26,2913,312000,house,3
389,2008-09-26,2617,510000,house,4
390,2008-09-26,2607,707500,house,4
391,2008-09-26,2914,755000,house,4
392,2008-09-29,2617,380000,house,4
393,2008-09-29,2611,389000,house,3
394,2008-09-29,2906,415000,house,3
395,2008-09-29,2611,557000,house,4
396,2008-09-29,2605,585000,house,4
397,2008-09-29,2604,595000,house,2
398,2008-09-29,2906,875000,house,5
399,2008-09-30,2913,367500,house,4
400,2008-09-30,2614,372000,house,3
401,2008-09-30,2605,549000,house,3
402,2008-09-30,2615,575000,house,4
403,2008-09-30,2905,594000,house,4
404,2008-09-30,2612,662500,house,2
405,2008-10-01,2904,455000,house,4
406,2008-10-02,2904,390000,house,3
407,2008-10-03,2906,332000,house,3
408,2008-10-03,2903,380000,house,3
409,2008-10-03,2904,405000,house,4
410,2008-10-03,2905,460000,house,4
411,2008-10-07,2903,355000,house,3
412,2008-10-07,2905,473000,house,4
413,2008-10-07,2611,560000,house,4
414,2008-10-08,2614,347000,house,3
415,2008-10-08,2615,359950,house,3
416,2008-10-08,2602,1030000,house,3
417,2008-10-09,2904,338500,house,3
418,2008-10-10,2614,378000,house,3
419,2008-10-10,2611,400000,house,4
420,2008-10-10,2904,453000,house,4
421,2008-10-10,2615,476600,house,4
422,2008-10-10,2902,677500,house,4
423,2008-10-10,2602,749950,house,4
424,2008-10-12,2906,390000,house,3
425,2008-10-13,2611,435000,house,3
426,2008-10-13,2617,507500,house,4
427,2008-10-14,2905,350000,house,3
428,2008-10-14,2903,399000,house,3
429,2008-10-14,2914,420000,house,4
430,2008-10-14,2904,450000,house,3
431,2008-10-14,2602,525000,house,2
432,2008-10-14,2602,595000,house,4
433,2008-10-14,2602,910000,house,3
434,2008-10-15,2611,395000,house,3
435,2008-10-15,2605,552500,house,3
436,2008-10-16,2914,375000,house,3
437,2008-10-16,2607,440000,house,3
438,2008-10-17,2617,352000,house,3
439,2008-10-17,2617,495000,house,4
440,2008-10-17,2611,530000,house,4
441,2008-10-17,2612,690000,house,3
442,2008-10-18,2604,342000,house,2
443,2008-10-18,2611,420000,house,3
444,2008-10-18,2602,575000,house,3
445,2008-10-18,2605,612000,house,4
446,2008-10-20,2902,349000,house,3
447,2008-10-20,2905,350000,house,3
448,2008-10-20,2913,480000,house,4
449,2008-10-21,2615,342000,house,3
450,2008-10-21,2617,372500,house,4
451,2008-10-21,2902,375000,house,3
452,2008-10-21,2615,408000,house,4
453,2008-10-21,2914,515000,house,4
454,2008-10-22,2614,370000,house,3
455,2008-10-22,2612,657500,house,4
456,2008-10-23,2617,340000,house,3
457,2008-10-23,2615,369000,house,3
458,2008-10-23,2913,419950,house,3
459,2008-10-23,2906,455000,house,3
460,2008-10-23,2615,495000,house,4
461,2008-10-23,2906,765000,house,4
462,2008-10-24,2913,361000,house,3
463,2008-10-24,2903,425000,house,3
464,2008-10-24,2913,498600,house,4
465,2008-10-24,2617,570000,house,4
466,2008-10-27,2902,330250,house,3
467,2008-10-27,2903,337000,house,3
468,2008-10-27,2615,360000,house,3
469,2008-10-27,2914,440000,house,3
470,2008-10-27,2914,475000,house,4
471,2008-10-27,2615,510000,house,4
472,2008-10-27,2602,1120000,house,4
473,2008-10-28,2912,340000,house,2
474,2008-10-28,2607,676000,house,4
475,2008-10-29,2906,420000,house,4
476,2008-10-30,2906,585000,house,4
477,2008-10-30,2605,720000,house,5
478,2008-10-31,2615,372000,house,3
479,2008-10-31,2913,395000,house,3
480,2008-10-31,2607,544000,house,4
481,2008-10-31,2900,581650,house,4
482,2008-10-31,2611,800000,house,3
483,2008-11-03,2902,330000,house,3
484,2008-11-03,2615,330000,house,3
485,2008-11-03,2905,350000,house,3
486,2008-11-03,2913,360000,house,3
487,2008-11-03,2905,424000,house,4
488,2008-11-03,2902,583000,house,4
489,2008-11-05,2905,359950,house,3
490,2008-11-05,2602,425000,house,3
491,2008-11-05,2602,475000,house,3
492,2008-11-05,2914,477500,house,4
493,2008-11-05,2603,1425000,house,3
494,2008-11-06,2611,345000,house,2
495,2008-11-06,2611,485000,house,3
496,2008-11-06,2906,557500,house,4
497,2008-11-07,2906,360000,house,3
498,2008-11-07,2906,395000,house,4
499,2008-11-07,2906,415000,house,4
500,2008-11-07,2906,435000,house,3
501,2008-11-07,2607,522000,house,4
502,2008-11-07,2602,757500,house,3
503,2008-11-10,2906,357000,house,3
504,2008-11-10,2611,542000,house,5
505,2008-11-10,2904,567000,house,4
506,2008-11-10,2904,623700,house,5
507,2008-11-10,2906,702500,house,4
508,2008-11-11,2906,324000,house,3
509,2008-11-11,2906,351000,house,3
510,2008-11-11,2611,449000,house,3
511,2008-11-11,2906,515000,house,4
512,2008-11-12,2913,342500,house,3
513,2008-11-12,2611,400000,house,3
514,2008-11-12,2614,462000,house,3
515,2008-11-13,2902,375000,house,3
516,2008-11-14,2905,385000,house,3
517,2008-11-15,2617,380000,house,3
518,2008-11-15,2614,418000,house,3
519,2008-11-15,2602,530000,house,2
520,2008-11-17,2615,350000,house,4
521,2008-11-17,2913,370000,house,3
522,2008-11-17,2905,379000,house,3
523,2008-11-17,2906,385000,house,3
524,2008-11-17,2602,438000,house,3
525,2008-11-17,2905,460000,house,4
526,2008-11-17,2913,635000,house,4
527,2008-11-17,2603,830000,house,4
528,2008-11-17,2611,950000,house,4
529,2008-11-18,2611,455000,house,4
530,2008-11-18,2914,540000,house,4
531,2008-11-18,2600,635000,house,3
532,2008-11-18,2600,950000,house,3
533,2008-11-19,2905,348000,house,3
534,2008-11-19,2615,460000,house,4
535,2008-11-19,2903,497000,house,4
536,2008-11-19,2906,515000,house,4
537,2008-11-20,2615,450000,house,3
538,2008-11-20,2905,475000,house,4
539,2008-11-20,2607,665000,house,4
540,2008-11-21,2913,350000,house,3
541,2008-11-21,2905,392500,house,3
542,2008-11-21,2615,450000,house,4
543,2008-11-21,2611,454000,house,3
544,2008-11-21,2602,475000,house,3
545,2008-11-21,2617,500000,house,4
546,2008-11-21,2600,730000,house,3
547,2008-11-22,2902,510000,house,4
548,2008-11-22,2604,640000,house,3
549,2008-11-22,2604,805000,house,4
550,2008-11-24,2904,387000,house,4
551,2008-11-24,2905,389950,house,3
552,2008-11-24,2905,393000,house,4
553,2008-11-24,2905,395000,house,3
554,2008-11-24,2905,468500,house,4
555,2008-11-24,2902,480000,house,3
556,2008-11-24,2904,485000,house,4
557,2008-11-24,2912,485000,house,4
558,2008-11-24,2905,500000,house,4
559,2008-11-24,2904,547500,house,4
560,2008-11-24,2607,565000,house,5
561,2008-11-24,2612,630000,house,3
562,2008-11-25,2912,490000,house,4
563,2008-11-25,2611,540000,house,5
564,2008-11-25,2603,630000,house,2
565,2008-11-25,2607,735000,house,5
566,2008-11-26,2905,326000,house,3
567,2008-11-26,2604,375000,house,2
568,2008-11-26,2905,453000,house,4
569,2008-11-26,2903,462500,house,4
570,2008-11-26,2606,580000,house,5
571,2008-11-27,2906,327500,house,3
572,2008-11-27,2913,390000,house,3
573,2008-11-28,2906,322500,house,3
574,2008-11-28,2906,335000,house,3
575,2008-11-28,2615,337500,house,3
576,2008-11-28,2905,345000,house,3
577,2008-11-28,2615,345000,house,3
578,2008-11-28,2913,351000,house,3
579,2008-11-28,2611,470000,house,3
580,2008-11-28,2602,540000,house,3
581,2008-11-28,2906,544000,house,4
582,2008-11-28,2603,1095000,house,4
583,2008-11-28,2603,1250000,house,3
584,2008-11-29,2611,375000,house,3
585,2008-11-29,2904,395000,house,3
586,2008-12-01,2905,327500,house,3
587,2008-12-01,2617,400000,house,3
588,2008-12-01,2607,450000,house,3
589,2008-12-01,2611,507500,house,3
590,2008-12-01,2604,940000,house,4
591,2008-12-01,2605,1050000,house,4
592,2008-12-02,2905,320000,house,3
593,2008-12-02,2905,349750,house,3
594,2008-12-02,2615,360000,house,4
595,2008-12-02,2906,410000,house,4
596,2008-12-02,2615,422500,house,4
597,2008-12-02,2913,464000,house,4
598,2008-12-02,2602,529000,house,3
599,2008-12-02,2903,557500,house,3
600,2008-12-03,2912,301000,house,3
601,2008-12-03,2913,320000,house,3
602,2008-12-03,2617,371000,house,4
603,2008-12-03,2617,374950,house,3
604,2008-12-03,2905,385150,house,3
605,2008-12-03,2902,399950,house,4
606,2008-12-03,2615,490000,house,5
607,2008-12-03,2612,512500,house,3
608,2008-12-03,2611,575000,house,4
609,2008-12-04,2902,340000,house,3
610,2008-12-04,2611,360000,house,3
611,2008-12-04,2906,420000,house,3
612,2008-12-04,2617,463000,house,4
613,2008-12-04,2913,470000,house,4
614,2008-12-04,2617,570000,house,4
615,2008-12-04,2612,680000,house,4
616,2008-12-05,2905,299000,house,3
617,2008-12-05,2913,309000,house,3
618,2008-12-05,2905,333000,house,2
619,2008-12-05,2602,430000,house,3
620,2008-12-05,2913,445000,house,3
621,2008-12-05,2904,455000,house,4
622,2008-12-05,2904,493000,house,5
623,2008-12-05,2611,505000,house,3
624,2008-12-05,2603,650000,house,3
625,2008-12-06,2615,378250,house,3
626,2008-12-06,2611,595000,house,3
627,2008-12-06,2914,600000,house,4
628,2008-12-06,2902,672000,house,4
629,2008-12-08,2615,314000,house,3
630,2008-12-08,2617,350000,house,3
631,2008-12-08,2902,355000,house,3
632,2008-12-08,2905,365000,house,3
633,2008-12-08,2611,431000,house,4
634,2008-12-08,2611,470000,house,4
635,2008-12-08,2617,525000,house,4
636,2008-12-08,2611,610000,house,4
637,2008-12-08,2602,855000,house,4
638,2008-12-09,2904,490000,house,4
639,2008-12-09,2913,540000,house,4
640,2008-12-09,2905,695000,house,4
641,2008-12-10,2906,335000,house,3
642,2008-12-10,2913,340000,house,3
643,2008-12-10,2905,385000,house,3
644,2008-12-10,2906,392000,house,3
645,2008-12-10,2611,420000,house,3
646,2008-12-10,2602,435000,house,2
647,2008-12-10,2902,435000,house,4
648,2008-12-10,2904,440000,house,3
649,2008-12-10,2902,480000,house,4
650,2008-12-10,2604,600000,house,4
651,2008-12-11,2615,520000,house,4
652,2008-12-12,2906,351000,house,4
653,2008-12-12,2912,355000,house,2
654,2008-12-12,2905,455000,house,3
655,2008-12-12,2905,470000,house,4
656,2008-12-12,2903,525000,house,5
657,2008-12-12,2602,665000,house,3
658,2008-12-12,2604,805000,house,4
659,2008-12-13,2603,775000,house,4
660,2008-12-15,2615,360000,house,3
661,2008-12-15,2905,373500,house,3
662,2008-12-15,2606,398000,house,3
663,2008-12-15,2903,405000,house,3
664,2008-12-15,2904,472000,house,4
665,2008-12-15,2611,505000,house,4
666,2008-12-15,2906,530000,house,4
667,2008-12-15,2612,625000,house,2
668,2008-12-16,2906,362500,house,3
669,2008-12-16,2611,413000,house,3
670,2008-12-16,2615,420000,house,4
671,2008-12-16,2913,520000,house,4
672,2008-12-16,2913,585000,house,4
673,2008-12-17,2913,378500,house,3
674,2008-12-17,2615,600000,house,4
675,2008-12-17,2906,720000,house,4
676,2008-12-18,2903,416500,house,3
677,2008-12-18,2902,420000,house,4
678,2008-12-18,2615,431600,house,4
679,2008-12-19,2905,339950,house,3
680,2008-12-19,2905,350000,house,3
681,2008-12-19,2615,380000,house,3
682,2008-12-19,2902,428250,house,3
683,2008-12-19,2611,439000,house,3
684,2008-12-19,2905,472000,house,4
685,2008-12-19,2607,499000,house,4
686,2008-12-19,2611,527000,house,5
687,2008-12-19,2615,550000,house,4
688,2008-12-19,2612,716000,house,3
689,2008-12-19,2603,900000,house,4
690,2008-12-20,2606,495000,house,3
691,2008-12-20,2604,540000,house,3
692,2008-12-20,2603,1375000,house,4
693,2008-12-20,2603,3500000,house,5
694,2008-12-22,2617,379000,house,3
695,2008-12-22,2615,390000,house,4
696,2008-12-22,2611,399500,house,3
697,2008-12-22,2914,456000,house,3
698,2008-12-22,2611,490000,house,4
699,2008-12-22,2614,585000,house,4
700,2008-12-22,2611,630000,house,4
701,2008-12-22,2600,855000,house,3
702,2008-12-23,2906,355000,house,3
703,2008-12-23,2905,361500,house,3
704,2008-12-23,2617,381000,house,3
705,2008-12-23,2913,390000,house,3
706,2008-12-23,2905,395000,house,3
707,2008-12-23,2914,444000,house,4
708,2008-12-23,2906,450000,house,4
709,2008-12-23,2906,452000,house,4
710,2008-12-23,2912,480000,house,4
711,2008-12-23,2602,500000,house,3
712,2008-12-23,2602,571000,house,3
713,2008-12-24,2614,310000,house,2
714,2008-12-24,2913,369950,house,3
715,2008-12-24,2615,385000,house,3
716,2008-12-24,2611,394000,house,3
717,2008-12-24,2914,400000,house,4
718,2008-12-24,2906,400000,house,3
719,2008-12-24,2611,400000,house,3
720,2008-12-24,2905,400000,house,3
721,2008-12-24,2904,499000,house,4
722,2008-12-24,2600,1057500,house,4
723,2009-01-06,2617,342500,house,3
724,2009-01-06,2611,450000,house,4
725,2009-01-07,2602,420000,house,3
726,2009-01-08,2615,394000,house,3
727,2009-01-08,2914,410000,house,4
728,2009-01-08,2904,411500,house,3
729,2009-01-08,2914,560000,house,4
730,2009-01-09,2611,383000,house,3
731,2009-01-09,2902,385000,house,3
732,2009-01-09,2913,420000,house,2
